1,OCC,rate,medsal,name,category
31,9750,41.8,28905,Misc. material moving workers,Transportation and Material Moving
32,5000,39.5,42325,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support
33,5010,49.7,21077,"Switchboard Operators, Including Answering Service",Office and Administrative Support
34,5020,47.8,21679,Telephone Operators,Office and Administrative Support
35,5030,35.7,30035,"Communications Equipment Operators, All Other",Office and Administrative Support
36,5100,45.3,29937,Bill and Account Collectors,Office and Administrative Support
37,5110,40.6,30035,Billing and Posting Clerks,Office and Administrative Support
38,5120,40.5,30763,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support
39,5130,47.3,23712,Gaming Cage Workers,Office and Administrative Support
40,5140,41.7,36041,Payroll and Timekeeping Clerks,Office and Administrative Support
41,5150,43,45789,Procurement Clerks,Office and Administrative Support
42,5160,31.9,20646,Tellers,Office and Administrative Support
43,5165,34.7,41293,"Financial clerks, all other ",Office and Administrative Support
44,5200,38.1,42031,Brokerage Clerks,Office and Administrative Support
45,5220,46,34583,"Court, Municipal, and License Clerks",Office and Administrative Support
46,5230,37.4,33724,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support
47,5240,40.7,22386,Customer Service Representatives,Office and Administrative Support
48,5250,43.1,39045,"Eligibility Interviewers, Government Programs",Office and Administrative Support
49,5260,39.1,19522,File Clerks,Office and Administrative Support
50,5300,41.7,15017,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support
51,5310,46,20500,"Interviewers, Except Eligibility and Loan",Office and Administrative Support
52,5320,30.1,11562,"Library Assistants, Clerical",Office and Administrative Support
53,5330,39.5,37038,Loan Interviewers and Clerks,Office and Administrative Support
54,5340,35.2,33579,New Account Clerks,Office and Administrative Support
55,5350,39.9,25808,Correspondent clerks and order clerks,Office and Administrative Support
56,5360,43,33038,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support
57,5400,41.2,18582,Receptionists and Information Clerks,Office and Administrative Support
58,5410,41.4,29508,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support
59,5420,38.2,28032,"Information and Record Clerks, All Other",Office and Administrative Support
60,5500,40.7,34022,Cargo and Freight Agents,Office and Administrative Support
61,5510,39.7,26030,Couriers and Messengers,Office and Administrative Support
62,5520,46.6,33579,Dispatchers,Office and Administrative Support
63,5530,37.8,32000,"Meter Readers, Utilities",Office and Administrative Support
64,5540,43.5,52648,Postal Service Clerks,Office and Administrative Support
65,5550,41.2,52912,Postal Service Mail Carriers,Office and Administrative Support
66,5560,44.2,51616,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support
67,5600,40.6,38993,"Production, Planning, and Expediting Clerks",Office and Administrative Support
68,5610,39.1,25438,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support
69,5620,40.1,15485,Stock Clerks and Order Fillers,Office and Administrative Support
70,5630,40.5,27031,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support
71,5700,39.6,29508,Secretaries and Administrative Assistants,Office and Administrative Support
72,5800,41,33724,Computer Operators,Office and Administrative Support
73,5810,42.2,24028,Data Entry Keyers,Office and Administrative Support
74,5820,38.9,25293,Word Processors and Typists,Office and Administrative Support
75,5840,40.8,32800,Insurance Claims and Policy Processing Clerks,Office and Administrative Support
76,5850,41.2,22000,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support
77,5860,39.6,24028,"Office Clerks, General",Office and Administrative Support
78,5900,38.3,23026,"Office Machine Operators, Except Computer",Office and Administrative Support
79,5910,36.2,22430,Proofreaders and Copy Markers,Office and Administrative Support
80,5920,39.9,36886,Statistical Assistants,Office and Administrative Support
81,5940,40.7,32037,Misc. office and administrative support workers,Office and Administrative Support
82,4300,43.1,36131,First-Line Supervisors of Gaming Workers,Personal Care and Service
83,4320,39.7,28786,First-Line Supervisors of Personal Service Workers,Personal Care and Service
84,4340,41.2,20000,Animal Trainers,Personal Care and Service
85,4350,43.3,12516,Nonfarm Animal Caretakers,Personal Care and Service
86,4400,50.3,30000,Gaming Services Workers,Personal Care and Service
87,4410,27,12388,Motion Picture Projectionists,Personal Care and Service
88,4420,42.3,3279,"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service
89,4430,40.5,5088,Misc. Entertainment Attendants and Related Workers,Personal Care and Service
90,4460,38.1,13418,Embalmers and Funeral Attendants,Personal Care and Service
91,4465,35.6,42996,"Morticians, undertakers, and funeral directors",Personal Care and Service
92,4500,40.1,18754,Barbers,Personal Care and Service
93,4510,41.1,17020,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service
94,4520,31.5,15485,Misc. Personal Appearance Workers,Personal Care and Service
95,4530,40.4,23227,"Baggage Porters, Bellhops, and Concierges",Personal Care and Service
96,4540,40.3,6817,Tour and Travel Guides,Personal Care and Service
97,4600,31.8,8536,Childcare Workers,Personal Care and Service
98,4610,46.2,13516,Personal Care Aides,Personal Care and Service
99,4620,35.7,8140,Recreation and Fitness Workers,Personal Care and Service
100,4640,41.2,7008,Residential Advisors,Personal Care and Service
101,4650,42,11192,"Personal Care and Service Workers, All Other",Personal Care and Service
102,3700,46.9,50036,First-Line Supervisors of Correctional Officers,Protective Services
103,3710,39.8,73000,First-Line Supervisors of Police and Detectives,Protective Services
104,3720,37.2,81403,First-Line Supervisors of Fire Fighting and Prevention Workers,Protective Services
105,3730,45.6,43357,"First-line supervisors of protective service workers, all other",Protective Services
106,3740,30,60000,Firefighters,Protective Services
107,3750,39,50877,Fire Inspectors,Protective Services
108,3800,42.4,40047,"Bailiffs, Correctional Officers, and Jailers",Protective Services
109,3820,36.3,70081,Detectives and Criminal Investigators,Protective Services
110,3840,39.6,34480,Misc. law enforcement workers,Protective Services
111,3850,34.8,57963,Police Officers,Protective Services
112,3900,44.4,30541,Animal Control Workers,Protective Services
113,3910,40.7,46973,Private Detectives and Investigators,Protective Services
114,3930,45.5,22711,Security guards and gaming surveillance officers,Protective Services
115,3940,41,8009,Crossing Guards,Protective Services
116,3945,43.3,38683,Transportation Security Screeners,Protective Services
117,3955,34.7,3000,"Lifeguards and Other Recreational, and All Other Protective Service Workers",Protective Services
118,7000,40.1,54000,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Workers"
119,7010,36,37939,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair Workers"
120,7020,37.6,49434,Radio and Telecommunications Equipment Installers and Repairers,"Installation, Maintenance, and Repair Workers"
121,7030,37.8,42000,Avionics Technicians,"Installation, Maintenance, and Repair Workers"
122,7040,40.8,39194,"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair Workers"
123,7100,34.4,44308,"Electrical and electronics repairers, transportation equipment, and industrial and utility","Installation, Maintenance, and Repair Workers"
124,7110,38.3,37163,"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair Workers"
125,7120,36.9,32564,Electronic Home Entertainment Equipment Installers and Repairers,"Installation, Maintenance, and Repair Workers"
126,7130,38,40000,Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair Workers"
127,7140,38,50058,Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair Workers"
128,7150,36.9,34596,Automotive Body and Related Repairers,"Installation, Maintenance, and Repair Workers"
129,7160,38.4,31590,Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair Workers"
130,7200,36.9,31616,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair Workers"
131,7210,39.8,40046,Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair Workers"
132,7220,39.3,45052,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"Installation, Maintenance, and Repair Workers"
133,7240,46.2,27473,Small Engine Mechanics,"Installation, Maintenance, and Repair Workers"
134,7260,40.6,20023,"Misc. Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Workers"
135,7300,39.8,47424,Control and Valve Installers and Repairers,"Installation, Maintenance, and Repair Workers"
136,7315,38.7,39642,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Workers"
137,7320,41.3,33724,Home Appliance Repairers,"Installation, Maintenance, and Repair Workers"
138,7330,41,45789,Industrial and Refractory Machinery Mechanics,"Installation, Maintenance, and Repair Workers"
139,7340,40.5,37291,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair Workers"
140,7350,43.5,42000,"Maintenance Workers, Machinery","Installation, Maintenance, and Repair Workers"
141,7360,46,52912,Millwrights,"Installation, Maintenance, and Repair Workers"
142,7410,34.1,64004,Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Workers"
143,7420,35.8,42500,Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair Workers"
144,7430,39.7,45422,Precision Instrument and Equipment Repairers,"Installation, Maintenance, and Repair Workers"
145,7510,41.1,29002,"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair Workers"
146,7540,42.4,36041,Locksmiths and Safe Repairers,"Installation, Maintenance, and Repair Workers"
147,7560,42.8,37748,Riggers,"Installation, Maintenance, and Repair Workers"
148,7610,34.9,15808,"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair Workers"
149,7630,39.5,31616,"Misc. installation, maintenance, and repair workers, including wind turbine service technicians","Installation, Maintenance, and Repair Workers"
150,3600,44.1,19614,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support
151,3610,36.9,38548,Occupational Therapy Assistants and Aides,Healthcare Support
152,3620,31,30969,Physical Therapist Assistants and Aides,Healthcare Support
153,3630,47.8,19842,Massage therapists,Healthcare Support
154,3640,34.9,25438,Dental assistants,Healthcare Support
155,3645,39,25293,Medical assistants,Healthcare Support
156,3646,44.7,26008,Medical transcriptionists,Healthcare Support
157,3647,36.7,20164,Pharmacy aides,Healthcare Support
158,3648,31.7,17000,Veterinary assistants and laboratory animal caretakers,Healthcare Support
159,3649,45.4,26030,Phlebotmists,Healthcare Support
160,3655,39.5,20023,"Healthcare support workers, all other, including medical equipment preparers",Healthcare Support
161,4200,41.7,31036,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning
162,4210,33.8,33034,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning
163,4220,39,17520,Janitors and Building Cleaners,Building and Grounds Cleaning
164,4230,38.8,14116,Maids and Housekeeping Cleaners,Building and Grounds Cleaning
165,4240,41.3,30000,Pest Control Workers,Building and Grounds Cleaning
166,4250,32.6,15263,Grounds Maintenance Workers,Building and Grounds Cleaning
167,7700,38.5,50058,First-Line Supervisors of Production and Operating Workers,Production
168,7710,40,40200,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production
169,7720,37.3,25808,"Electrical, Electronics, and Electromechanical Assemblers",Production
170,7730,41.7,35000,Engine and Other Machine Assemblers,Production
171,7740,41,34007,Structural Metal Fabricators and Fitters,Production
172,7750,40.3,25029,Misc. Assemblers and Fabricators,Production
173,7800,33,17095,Bakers,Production
174,7810,34.6,23000,"Butchers and Other Meat, Poultry, and Fish Processing Workers",Production
175,7830,37.3,24028,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production
176,7840,35.9,20023,Food Batchmakers,Production
177,7850,40.5,18582,Food Cooking Machine Operators and Tenders,Production
178,7855,35.7,26840,"Food Processing Workers, All Other",Production
179,7900,39.6,40000,Computer Control Programmers and Operators,Production
180,7920,49.6,35000,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production
181,7930,42.7,37939,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production
182,7940,50.1,35040,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic",Production
183,7950,44.3,28663,"Machine tool cutting setters, operators, and tenders, metal and plastic",Production
184,8030,38.9,41293,Machinists,Production
185,8040,42.1,38997,"Metal Furnace Operators, Tenders, Pourers, and Casters",Production
186,8100,40.2,30035,"Model makers, patternmakers, and molding machine setters, metal and plastic",Production
187,8130,41.5,50877,Tool and Die Makers,Production
188,8140,40.4,35000,"Welding, Soldering, and Brazing Workers",Production
189,8220,38.2,30526,"Misc. metal workers and plastic workers, including multiple machine tool setters",Production
190,8250,40.9,24421,Prepress Technicians and Workers,Production
191,8255,38.2,30969,Printing press operators ,Production
192,8256,40.7,23583,Print binding and finishing workers,Production
193,8300,35.8,16018,Laundry and Dry-Cleaning Workers,Production
194,8310,33.3,15844,"Pressers, Textile, Garment, and Related Materials",Production
195,8320,33.1,17033,Sewing Machine Operators,Production
196,8330,37.7,20656,Shoe and Leather Workers,Production
197,8350,31.7,18970,"Tailors, Dressmakers, and Sewers",Production
198,8400,34.4,20618,"Textile Bleaching and Dyeing, and Cutting Machine Operators",Production
199,8410,48.9,24156,Textile Knitting and Weaving Machine Operators,Production
200,8420,46.5,23710,"Textile Winding, Twisting, and Drawing Out Machine Operators",Production
201,8450,38.2,25433,Upholsterers,Production
202,8460,40.3,24196,"Miscellaneous Textile, Apparel, and Furnishings Workers Except Upholsterers ",Production
203,8500,37.3,27873,Cabinetmakers and Bench Carpenters,Production
204,8510,40,24767,Furniture Finishers,Production
205,8530,37.5,23026,"Sawing Machine Setters, Operators, and Tenders, Wood",Production
206,8540,38.9,21168,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Production
207,8550,39.2,27018,Misc. woodworkers including model makers and patternmakers,Production
208,8600,35.3,80092,"Power Plant Operators, Distributors, and Dispatchers",Production
209,8610,39.9,51616,Stationary Engineers and Boiler Operators,Production
210,8620,38.6,44263,Water Wastewater Treatment Plant and System Operators,Production
211,8630,38.8,59874,Misc. Plant and System Operators,Production
212,8640,35.5,45789,"Chemical Processing Machine Setters, Operators, and Tenders",Production
213,8650,40.3,31000,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",Production
214,8710,39.4,21369,Cutting Workers,Production
215,8720,48.8,30000,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production
216,8730,40.5,36886,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production
217,8740,40.6,32002,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production
218,8750,34.4,26000,Jewelers and Precious Stone and Metal Workers,Production
219,8760,39.3,30035,"Medical, Dental, and Ophthalmic Laboratory Technicians",Production
220,8800,33.2,20203,Packaging and Filling Machine Operators and Tenders,Production
221,8810,38.2,30000,Painting Workers,Production
222,8830,36.3,19019,Photographic Process Workers and Processing Machine Operators,Production
223,8850,40.9,24000,Adhesive Bonding Machine Operators and Tenders,Production
224,8910,35,24109,Etchers and Engravers,Production
225,8920,31.1,26347,"Molders, Shapers, and Casters, Except Metal and Plastic",Production
226,8930,39.5,30000,"Paper Goods Machine Setters, Operators, and Tenders",Production
227,8940,42.3,45317,Tire Builders,Production
228,8950,33.9,16517,Helpers--Production Workers,Production
229,8965,38.3,26456,"Misc. production workers, including semiconductor processors ",Production
230,4700,38.1,35000,First-Line Supervisors of Retail Sales Workers,Sales
231,4710,34.7,55207,First-Line Supervisors of Non-Retail Sales,Sales
232,4720,39.9,8259,Cashiers,Sales
233,4740,40.6,15000,Counter and Rental Clerks,Sales
234,4750,41,29033,Parts Salespersons,Sales
235,4760,39.5,14917,Retail Salespersons,Sales
236,4800,39.1,44000,Advertising Sales Agents,Sales
237,4810,37.8,41293,Insurance Sales Agents,Sales
238,4820,28.3,67000,"Securities, Commodities, and Financial Services Sales Agents",Sales
239,4830,38.3,31616,Travel Agents,Sales
240,4840,37,48842,"Sales Representatives, Services, All Other",Sales
241,4850,34.8,54801,"Sales Representatives, Wholesale and Manufacturing",Sales
242,4900,44.1,6007,"Models, Demonstrators, and Product Promoters",Sales
243,4920,41.6,36663,Real Estate Brokers and Sales Agents,Sales
244,4930,27.7,94849,Sales Engineers,Sales
245,4940,49.2,10539,Telemarketers,Sales
246,4950,37.6,10175,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales
247,4965,39.4,33579,"Sales and related workers, all other",Sales
248,2000,37.4,36041,Counselors,Community and Social Services
249,2010,39.2,39646,Social Workers,Community and Social Services
250,2015,38.2,44390,Probation Officers and Correctional Treatment Specialists,Community and Social Services
251,2016,41.3,29319,Social and Human Service Assistants ,Community and Social Services
252,2025,38.9,32037,"Misc. Community and Social Service Specialists, Including Health Educators and Community Health Workers",Community and Social Services
253,2040,19.8,36631,Clergy,Community and Social Services
254,2050,21.3,30000,"Directors, Religious Activities and Education",Community and Social Services
255,2060,24.5,20351,"Religious Workers, All Other",Community and Social Services
256,6800,39.4,52060,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining ",Extraction Workers
257,6820,41.1,42155,"Earth Drillers, Except Oil and Gas",Extraction Workers
258,6830,34.3,36631,"Explosives Workers, Ordnance Handling Experts, and Blasters",Extraction Workers
259,6840,37.8,57000,Mining Machine Operators,Extraction Workers
260,6940,34.2,45052,Misc. extraction workers including roof bolters and helpers,Extraction Workers
261,6200,38.1,51894,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction
262,6210,42.6,48000,Boilermakers,Construction and Extraction
263,6220,32.4,25808,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",Construction and Extraction
264,6230,37.3,27401,Carpenters,Construction and Extraction
265,6240,36.2,23026,"Carpet, Floor, and Tile Installers and Finishers",Construction and Extraction
266,6250,36,27873,"Cement Masons, Concrete Finishers, and Terrazzo Workers",Construction and Extraction
267,6260,34.7,23185,Construction Laborers,Construction and Extraction
268,6300,38.6,30526,"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction
269,6320,41.7,40000,"Construction equipment operators except paving, surfacing, and tamping equipment operators",Construction and Extraction
270,6330,29.7,23185,"Drywall Installers, Ceiling Tile Installers, and Tapers",Construction and Extraction
271,6355,36.4,42155,Electricians,Construction and Extraction
272,6360,38.4,32000,Glaziers,Construction and Extraction
273,6400,33.9,30969,Insulation Workers,Construction and Extraction
274,6420,36.9,21921,Painters and paperhangers,Construction and Extraction
275,6440,37,39228,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction
276,6460,29.6,23798,Plasterers and Stucco Masons,Construction and Extraction
277,6515,34.7,21077,Roofers,Construction and Extraction
278,6520,37.6,36041,Sheet Metal Workers,Construction and Extraction
279,6530,38.1,40000,Structural Iron and Steel Workers,Construction and Extraction
280,6600,36,17327,"Helpers, Construction Trades",Construction and Extraction
281,6660,41.8,45422,Construction and Building Inspectors,Construction and Extraction
282,6700,36.2,80000,Elevator Installers and Repairers,Construction and Extraction
283,6710,35.2,21077,Fence Erectors,Construction and Extraction
284,6720,37.9,30526,Hazardous Materials Removal Workers,Construction and Extraction
285,6730,37.7,34328,Highway Maintenance Workers,Construction and Extraction
286,6740,34.6,50877,Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction
287,6765,38.3,29027,Misc. construction workers including solar photovaltaic installers,Construction and Extraction
288,4000,32.7,25029,Chefs and Head Cooks,Food Preparation and Serving
289,4010,39.2,19820,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving
290,4020,34.2,12646,Cooks,Food Preparation and Serving
291,4030,33.1,9158,Food Preparation Workers,Food Preparation and Serving
292,4040,52.7,17549,Bartenders,Food Preparation and Serving
293,4050,41.2,9274,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving
294,4060,36.4,3899,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving
295,4110,40.3,10500,Waiters and Waitresses,Food Preparation and Serving
296,4120,37,12210,"Food Servers, Nonrestaurant",Food Preparation and Serving
297,4130,30.6,7433,Misc. food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers,Food Preparation and Serving
298,4140,34.2,7008,Dishwashers,Food Preparation and Serving
299,4150,38.1,4336,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving
300,100,39.9,59911,Administrative services managers,Management
301,110,29.1,94973,Computer and information systems managers,Management
302,120,32,65340,Financial managers,Management
303,135,38.6,73262,Compensation and benefits managers,Management
304,136,36.2,64004,Human resources managers,Management
305,137,36.9,63232,Training and development managers,Management
306,140,35.2,70081,Industrial production managers,Management
307,150,37.9,70000,Purchasing managers,Management
308,160,38.7,49551,"Transportation, storage, and distribution managers",Management
309,205,26.4,32561,"Farmers, ranchers, and other agricultural managers",Management
310,220,36.4,65075,Construction managers,Management
311,230,31.6,60069,Education administrators,Management
312,300,24.9,120138,Architectural and engineering managers ,Management
313,310,36.3,30969,Food service managers,Management
314,330,52.9,44000,Gaming managers,Management
315,340,38.7,37939,Lodging managers,Management
316,350,39.2,65075,Medical and health service managers,Management
317,360,23.7,84310,Natural science managers,Management
318,410,43.5,42155,"Property, real estate, and community association managers",Management
319,420,38.3,48000,Social and community service managers,Management
320,430,34.5,70081,"Misc. managers, including funeral service managers (0325) and postmasters and mail superintendents ",Management
321,4465,35.6,42996,"Morticians, undertakers, and funeral directors",Management
322,425,43.5,60151,Emergency management directors 3 Other business operations specialists,Business Operations
323,500,34.7,36886,"Agents and business managers of artists, performers, and atheletes",Business Operations
324,510,31.1,46053,"Buyers and purchasing agents, farm products",Business Operations
325,520,37.9,31616,"Wholesale and retail buyers, except farm products",Business Operations
326,530,40,50058,"Purchasing agents, except wholesale, retail, and farm products",Business Operations
327,540,38.1,48519,"Claims adjusters, appraisers, examiners, and investigators",Business Operations
328,565,36.9,60000,Compliance officers,Business Operations
329,600,36.7,54801,Cost estimators,Business Operations
330,630,36.3,50000,Human resource workers,Business Operations
331,640,36.2,48000,"Compensation, benefits, and job analysis specialists",Business Operations
332,650,40.4,50000,Training and development specialists,Business Operations
333,700,38,48000,Logisticians,Business Operations
334,710,34,70000,Management analysts,Business Operations
335,725,32.6,35614,"Meeting, convention, and event planners",Business Operations
336,726,31.5,45485,Fundraisers,Business Operations
337,735,27.5,55063,Market research analysts and marketing specialists,Business Operations
338,740,35,50000,"Business operations specialists, all others",Business Operations
339,2825,31.1,51059,Public relations specialists,Business Operations
340,3945,43.3,38683,Transportation security screeners,Business Operations
341,2100,27.6,105121,"Lawyers, and judges, magistrates, and other judicial workers",Legal
342,2105,25.3,39684,Judicial law clerks,Legal
343,2145,44.7,41047,Paralegals and legal assistants,Legal
344,2160,42.7,40046,Misc. legal support workers,Legal
345,800,30.9,53929,Accountants and auditors,Finance
346,810,38.4,46454,Appraisers and assessors of real estate,Finance
347,820,35.8,66140,Budget analysts,Finance
348,830,30.1,51616,Credit analysts,Finance
349,840,24.5,76000,Financial analysts,Finance
350,850,29.7,75086,Personal financial advisors,Finance
351,860,34.5,55855,Insurance underwriters,Finance
352,900,32.3,72262,Financial examiners,Finance
353,910,35.5,50877,Credit counselors and loan officers,Finance
354,930,39.3,47424,"Tax examiners and collectors, and revenue agents",Finance
355,940,40.1,15278,Tax preparers,Finance
356,950,35.6,50877,"Financial specialists, all other",Finance
357,2600,37.4,39045,Artists and Related Workers,Arts and Entertainment
358,2630,32.2,40046,Designers,Arts and Entertainment
359,2700,40.4,10175,Actors,Arts and Entertainment
360,2710,30.3,52694,Producers and Directors,Arts and Entertainment
361,2720,29.8,7008,"Athletes, Coaches, Umpires, and Related Workers",Arts and Entertainment
362,2740,46.8,16014,Dancers and Choreographers,Arts and Entertainment
363,2750,37.7,13853,"Musicians, Singers, and Related Workers",Arts and Entertainment
364,2760,45.7,17473,"Entertainers and Performers, Sports and Related Workers, All Other",Arts and Entertainment
365,2800,43.3,27527,Announcers,Arts and Entertainment
366,2810,28.9,40701,"News Analysts, Reporters and Correspondents",Arts and Entertainment
367,2825,31.1,51059,Public Relations Specialists,Arts and Entertainment
368,2830,29.6,44834,Editors,Arts and Entertainment
369,2840,38.4,60069,Technical Writers,Arts and Entertainment
370,2850,33.8,42000,Writers and Authors,Arts and Entertainment
371,2860,33.9,25438,Misc. Media and Communication Workers,Arts and Entertainment
372,2900,33.8,38993,Broadcast and Sound Engineering Technicians and Radio Operators,Arts and Entertainment
373,2910,32.6,20023,Photographers,Arts and Entertainment
374,2920,29.4,35341,"Television, Video, and Motion Picture Camera Operators and Editors",Arts and Entertainment
375,6005,30.4,33441,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry"
376,6010,36.9,42155,Agricultural Inspectors,"Farming, Fishing, and Forestry"
377,6040,24,12388,"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry"
378,6050,24,14452,Misc. agricultural workers including animal breeders,"Farming, Fishing, and Forestry"
379,6100,40.4,20825,Fishing and hunting workers,"Farming, Fishing, and Forestry"
380,6120,33.1,19357,Forest and Conservation Workers,"Farming, Fishing, and Forestry"
381,6130,42.8,25029,Logging Workers,"Farming, Fishing, and Forestry"
382,3000,28.4,60069,Chiropractors,Healthcare
383,3010,22.5,123037,Dentists,Healthcare
384,3030,29,40046,Dieticians and Nutritionists,Healthcare
385,3040,20.8,92908,Optometrists,Healthcare
386,3050,22.6,103788,Pharmacists,Healthcare
387,3060,21.8,162805,Physicians and Surgeons,Healthcare
388,3110,28.5,77424,Physician Assistants,Healthcare
389,3120,22.4,101753,Podiatrists,Healthcare
390,3140,28.7,65000,Audiologists,Healthcare
391,3150,24.3,60000,Occupational Therapists,Healthcare
392,3160,20.7,64000,Physical Therapists,Healthcare
393,3200,29.3,68502,Radiation Therapists,Healthcare
394,3210,31.8,35614,Recreational Therapists,Healthcare
